Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
30,10.5,21.0,0.0,14,46.0,8,13,17.0,26.0,42.0,27.0,1012.8,1012.2,15.6,19.5,0,0
43,7.9,24.8,0.0,7,52.0,3,7,20.0,31.0,43.0,15.0,1021.1,1017.5,13.8,24.0,0,0
24,13.8,17.3,1.4,8,33.0,8,8,19.0,20.0,80.0,64.0,1019.8,1018.9,16.2,16.3,1,0
18,17.9,43.1,0.0,3,76.0,3,6,46.0,41.0,18.0,10.0,1007.0,1003.7,33.8,40.4,0,0
14,6.9,16.1,0.0,3,65.0,6,3,33.0,24.0,61.0,52.0,1019.6,1018.7,12.4,15.8,0,0
5,9.1,11.2,0.4,11,33.0,10,8,7.0,9.0,84.0,93.0,1017.3,1014.4,9.6,9.5,0,1
22,6.6,14.8,0.4,8,31.0,7,11,7.0,17.0,94.0,64.0,1030.7,1028.9,9.4,14.3,0,0
40,13.3,21.4,1.8,9,35.0,2,9,11.0,24.0,45.0,47.0,1024.9,1022.4,19.0,19.4,1,0
28,8.4,19.2,1.8,13,56.0,3,14,15.0,31.0,85.0,54.0,1016.0,1012.8,13.7,17.8,1,1
32,18.3,27.5,0.0,1,44.0,13,0,7.0,30.0,59.0,53.0,1022.3,1019.7,22.8,26.2,0,0
38,9.4,16.5,0.0,11,35.0,13,13,15.0,13.0,74.0,94.0,1019.5,1019.1,15.1,14.7,0,1
32,9.8,14.8,0.0,13,39.0,6,13,9.0,13.0,63.0,70.0,1007.2,1006.0,12.9,14.3,0,1
5,19.0,27.0,2.4,13,61.0,6,14,22.0,30.0,89.0,34.0,1002.3,1001.3,20.8,26.4,1,1
5,17.4,36.7,0.0,4,39.0,1,4,15.0,13.0,29.0,16.0,1021.0,1016.3,26.3,35.7,0,0
18,19.9,29.4,0.0,3,57.0,11,10,13.0,20.0,67.0,44.0,1011.5,1009.0,21.0,28.0,0,0
27,9.7,25.5,0.0,6,35.0,4,7,9.0,17.0,40.0,57.0,1018.4,1015.3,18.0,22.9,0,1
18,9.6,17.5,0.0,3,50.0,3,3,31.0,28.0,83.0,69.0,1019.8,1019.2,13.6,17.1,0,0
8,9.3,25.7,0.0,14,43.0,14,14,11.0,28.0,39.0,17.0,1019.2,1016.9,18.0,24.5,0,0
36,15.0,30.2,0.0,8,50.0,2,1,26.0,24.0,30.0,15.0,1019.0,1013.5,19.7,27.6,0,0
23,11.5,17.9,0.0,7,44.0,14,15,15.0,15.0,54.0,36.0,1009.3,1013.8,14.2,16.2,0,0
2,23.3,35.6,0.0,5,50.0,4,4,13.0,28.0,41.0,28.0,1008.5,1005.4,29.3,33.8,0,0
24,19.4,23.2,14.4,15,35.0,13,15,15.0,19.0,62.0,67.0,1016.0,1015.7,21.6,22.0,1,0
8,12.2,17.8,0.4,7,43.0,6,7,17.0,24.0,89.0,68.0,1007.7,1006.1,15.3,16.4,0,0
23,23.7,26.9,0.0,11,52.0,11,8,31.0,28.0,90.0,85.0,1016.5,1017.5,24.5,26.6,0,0
27,21.2,36.0,0.0,12,39.0,4,15,9.0,15.0,40.0,37.0,1006.1,1003.6,29.2,30.3,0,0
42,11.7,17.6,0.0,9,33.0,12,9,17.0,24.0,56.0,57.0,1024.5,1021.0,15.2,16.9,0,0
29,13.7,28.3,0.0,7,44.0,6,13,20.0,28.0,51.0,45.0,1010.4,1010.2,21.5,23.5,0,0
2,23.5,31.3,0.4,13,43.0,13,4,28.0,7.0,83.0,74.0,1013.7,1011.0,23.5,25.0,0,0
5,6.3,24.8,0.0,6,56.0,4,6,7.0,26.0,76.0,33.0,1020.8,1014.4,14.4,24.3,0,0
3,18.8,24.4,13.8,10,39.0,8,10,11.0,20.0,86.0,68.0,1015.5,1013.3,20.3,23.9,1,0
27,17.7,26.0,0.0,12,50.0,8,12,13.0,26.0,57.0,53.0,1010.3,1009.3,21.3,24.2,0,0
4,9.8,20.1,0.0,3,52.0,3,3,30.0,37.0,73.0,48.0,1023.4,1020.5,13.1,19.1,0,0
3,6.0,20.0,0.0,3,13.0,11,3,6.0,7.0,82.0,50.0,1025.4,1021.8,11.8,18.8,0,0
2,20.4,38.4,0.0,0,43.0,1,0,11.0,26.0,27.0,13.0,1012.5,1008.4,31.3,37.0,0,0
41,11.2,26.6,0.0,10,44.0,2,10,19.0,28.0,52.0,45.0,1027.1,1024.2,18.9,24.5,0,0
5,2.0,15.2,0.6,13,35.0,14,13,11.0,19.0,76.0,55.0,1005.4,1004.0,11.4,15.2,0,0
28,2.6,20.3,0.0,15,30.0,3,12,6.0,22.0,75.0,47.0,1025.1,1022.9,10.7,19.3,0,0
19,4.6,20.4,0.0,0,28.0,2,9,6.0,11.0,63.0,25.0,1024.4,1021.3,9.7,19.5,0,0
35,5.9,13.9,20.8,11,31.0,12,8,9.0,15.0,86.0,67.0,1016.9,1012.3,9.5,13.8,1,0
38,10.7,26.5,0.0,11,31.0,1,8,13.0,13.0,64.0,63.0,1016.5,1012.9,19.1,23.7,0,0
38,14.3,27.8,0.0,9,37.0,2,9,20.0,26.0,69.0,57.0,1017.0,1014.1,22.6,26.1,0,0
14,5.1,16.8,0.0,3,37.0,6,3,19.0,17.0,76.0,46.0,1033.3,1030.0,8.2,16.3,0,0
1,23.7,40.5,0.0,14,54.0,10,7,19.0,33.0,40.0,12.0,1012.0,1008.0,26.9,38.8,0,0
34,24.5,30.4,0.0,4,39.0,4,1,20.0,28.0,54.0,46.0,1019.0,1015.8,27.7,29.0,0,0
19,14.7,34.7,0.0,2,30.0,9,10,11.0,9.0,36.0,12.0,1017.3,1015.8,19.8,32.4,0,0
9,10.7,19.6,1.2,7,44.0,14,7,9.0,19.0,76.0,45.0,1013.8,1012.0,15.2,17.9,1,0
43,13.9,23.2,0.0,12,70.0,13,15,35.0,43.0,55.0,30.0,1012.6,1010.9,17.0,22.2,0,0
1,8.2,22.0,0.0,13,41.0,12,15,15.0,19.0,55.0,41.0,1015.5,1015.1,14.7,21.1,0,0
7,22.4,30.8,0.2,10,37.0,10,0,2.0,15.0,77.0,78.0,1011.0,1008.6,27.1,27.7,0,1
14,12.0,21.3,0.0,2,22.0,7,9,7.0,15.0,84.0,62.0,1015.6,1014.1,14.4,20.6,0,0
34,18.9,28.3,0.0,0,43.0,9,0,13.0,30.0,66.0,62.0,1019.1,1015.5,24.6,26.6,0,0
5,17.0,30.6,0.0,9,28.0,10,7,11.0,4.0,58.0,33.0,1014.1,1011.6,21.4,29.4,0,0
14,11.1,26.2,0.4,6,44.0,6,1,17.0,11.0,84.0,39.0,1019.3,1013.0,11.4,23.7,0,0
25,12.5,24.5,14.2,6,31.0,4,9,7.0,7.0,78.0,75.0,1011.3,1009.1,19.0,20.5,1,1
26,11.3,29.3,0.0,1,39.0,5,15,17.0,24.0,51.0,52.0,1009.6,1007.0,24.5,25.6,0,0
28,12.7,23.4,1.6,12,54.0,12,12,26.0,35.0,54.0,48.0,1018.1,1017.4,19.8,21.4,1,0
12,24.4,32.0,0.0,6,35.0,13,7,9.0,24.0,72.0,57.0,1014.1,1010.1,27.6,30.3,0,0
4,7.8,12.0,1.0,10,44.0,8,8,26.0,24.0,99.0,74.0,1036.3,1035.1,8.9,11.5,0,0
37,8.2,21.3,0.0,15,48.0,14,11,9.0,37.0,91.0,37.0,1020.3,1018.9,12.6,18.1,0,0
20,10.8,26.3,0.0,8,33.0,2,8,15.0,7.0,54.0,27.0,1020.2,1015.9,19.4,25.5,0,0
27,6.9,23.9,0.0,4,30.0,4,1,13.0,11.0,48.0,28.0,1031.2,1026.0,16.9,23.3,0,0
35,3.7,20.1,0.0,14,43.0,8,7,2.0,19.0,80.0,33.0,1022.2,1015.6,10.0,19.2,0,0
43,8.6,15.8,0.4,11,31.0,15,8,7.0,17.0,96.0,63.0,1023.9,1022.4,10.6,15.3,0,0
34,22.5,30.9,76.8,11,54.0,4,1,2.0,13.0,93.0,70.0,1011.0,1006.3,24.4,30.4,1,1
0,19.7,23.5,2.8,15,37.0,12,12,13.0,7.0,93.0,69.0,1008.6,1012.5,19.9,20.8,1,1
11,10.9,29.1,0.0,6,31.0,5,7,4.0,17.0,100.0,25.0,1002.6,999.9,13.6,28.1,0,0
20,13.0,22.6,0.0,1,50.0,2,0,24.0,33.0,64.0,53.0,1026.1,1024.9,17.8,21.8,0,0
0,11.9,28.2,0.0,12,35.0,1,13,20.0,7.0,38.0,18.0,1022.6,1020.4,19.7,27.2,0,0
25,21.7,25.7,0.0,15,41.0,5,15,7.0,15.0,63.0,98.0,1016.0,1017.6,23.2,17.2,0,1
16,9.8,31.7,0.0,3,37.0,7,13,11.0,9.0,66.0,27.0,1019.8,1019.1,17.8,30.0,0,0
35,0.7,14.9,0.0,8,50.0,10,8,22.0,24.0,70.0,47.0,1020.0,1019.4,10.7,13.5,0,0
43,21.8,32.9,0.0,15,63.0,14,6,7.0,33.0,54.0,49.0,1007.3,1003.2,26.6,30.8,0,1
41,6.8,21.5,0.0,10,41.0,2,8,6.0,22.0,64.0,40.0,1026.2,1023.4,15.0,20.7,0,0
43,21.0,35.4,0.0,1,43.0,4,4,26.0,22.0,46.0,13.0,1016.0,1012.7,25.9,34.2,0,0
38,11.7,20.9,0.2,9,43.0,0,10,13.0,22.0,54.0,53.0,1020.3,1017.5,17.6,20.0,0,0
34,21.0,31.6,0.0,2,46.0,10,9,17.0,28.0,57.0,71.0,1016.9,1014.5,27.8,28.2,0,1
38,9.6,19.9,0.0,7,46.0,6,14,17.0,20.0,73.0,61.0,1016.8,1013.3,13.0,18.7,0,1
32,13.7,19.5,0.6,7,35.0,6,3,9.0,17.0,84.0,77.0,1017.1,1012.6,14.2,16.7,0,1
18,5.9,19.7,0.0,5,37.0,5,5,13.0,17.0,76.0,46.0,1034.0,1031.5,12.4,19.4,0,0
40,10.2,24.0,0.0,9,35.0,14,2,13.0,20.0,56.0,47.0,1017.9,1016.6,18.1,21.1,0,0
32,24.5,37.0,0.0,11,69.0,7,13,11.0,20.0,34.0,33.0,1007.4,1008.4,32.6,35.0,0,1
39,7.3,14.2,0.0,7,43.0,3,3,15.0,24.0,73.0,68.0,1021.6,1020.6,10.2,12.3,0,0
26,14.9,25.6,0.4,12,50.0,14,15,9.0,24.0,75.0,74.0,1013.9,1012.5,20.4,22.6,0,1
30,17.2,23.9,1.4,10,52.0,15,15,7.0,9.0,89.0,98.0,1011.5,1010.9,19.5,18.0,1,1
16,6.7,17.5,4.2,3,43.0,6,13,4.0,17.0,86.0,49.0,1011.8,1011.5,13.3,16.3,1,1
16,5.3,13.3,0.0,10,33.0,9,9,17.0,15.0,54.0,44.0,1016.7,1017.8,10.2,12.4,0,0
18,5.1,18.2,0.4,14,46.0,15,13,28.0,17.0,48.0,41.0,1017.3,1017.2,13.9,17.0,0,0
31,3.8,15.4,0.0,13,74.0,13,7,20.0,48.0,73.0,35.0,1008.6,1003.7,10.1,14.6,0,1
13,21.2,29.7,0.2,10,54.0,8,9,26.0,35.0,66.0,67.0,1018.3,1015.8,26.1,26.3,0,0
34,24.9,31.2,0.0,4,39.0,2,1,20.0,30.0,71.0,67.0,1010.0,1007.5,28.9,30.4,0,1
23,17.1,23.9,0.2,8,54.0,13,8,9.0,41.0,69.0,85.0,1019.3,1017.8,21.4,22.3,0,1
2,12.1,28.4,0.4,4,26.0,0,11,6.0,11.0,98.0,31.0,1021.3,1016.4,14.2,27.6,0,0
20,22.4,37.3,0.0,5,52.0,4,3,33.0,17.0,56.0,28.0,1013.2,1009.4,25.2,35.3,0,0
9,10.3,26.5,0.0,8,37.0,9,15,9.0,19.0,28.0,15.0,1019.2,1015.0,18.9,25.4,0,0
30,17.7,35.6,0.0,13,44.0,0,15,9.0,17.0,63.0,39.0,1018.2,1014.0,25.7,29.8,0,0
19,2.9,19.1,0.0,10,24.0,11,10,7.0,9.0,87.0,39.0,1023.5,1020.7,7.3,18.8,0,0
21,10.8,16.7,0.2,8,30.0,11,8,13.0,15.0,96.0,68.0,1032.2,1031.2,13.3,16.5,0,0
20,20.2,29.1,15.0,10,39.0,2,9,7.0,7.0,74.0,50.0,1017.8,1015.2,22.2,28.5,1,0
2,-1.0,19.8,0.0,9,26.0,13,10,9.0,11.0,36.0,13.0,1023.1,1020.5,8.2,19.2,0,0
17,13.3,16.8,8.4,3,72.0,3,6,31.0,9.0,83.0,75.0,1015.5,1014.3,13.3,16.6,1,1
8,14.0,24.5,7.0,2,48.0,8,2,24.0,30.0,72.0,44.0,1013.6,1012.7,16.6,23.5,1,0
28,14.5,26.2,0.0,15,48.0,6,15,7.0,30.0,51.0,46.0,1008.6,1008.5,22.9,24.8,0,0
39,12.4,18.3,1.2,7,67.0,3,6,20.0,26.0,65.0,50.0,1003.4,1002.5,14.3,17.3,1,1
13,17.9,28.3,0.0,5,28.0,10,1,13.0,13.0,60.0,62.0,1021.1,1018.1,25.8,25.6,0,0
36,22.6,32.1,0.0,10,33.0,2,10,22.0,15.0,33.0,27.0,1012.6,1009.7,25.7,30.0,0,0
34,14.4,25.0,0.0,4,33.0,8,4,7.0,24.0,41.0,47.0,1022.2,1018.9,19.9,23.2,0,0
19,10.2,19.3,6.6,13,37.0,13,13,15.0,17.0,86.0,53.0,1018.1,1017.1,13.4,18.1,1,0
12,23.9,33.9,0.0,3,39.0,4,3,20.0,24.0,68.0,43.0,1014.9,1011.1,28.7,32.3,0,0
41,13.8,19.2,0.0,14,44.0,7,7,20.0,19.0,60.0,78.0,1017.9,1015.6,18.1,17.4,0,1
4,11.4,18.1,0.6,12,35.0,12,11,17.0,17.0,100.0,65.0,1022.0,1022.0,12.4,16.8,0,0
34,23.8,31.9,4.6,1,46.0,2,1,24.0,33.0,57.0,50.0,1016.7,1013.2,28.4,30.2,1,0
23,13.3,22.8,0.0,15,30.0,13,1,17.0,15.0,41.0,61.0,1012.4,1009.6,19.0,19.3,0,0
10,5.1,19.1,0.0,15,37.0,12,9,26.0,15.0,44.0,42.0,1023.7,1020.8,16.2,18.1,0,0
11,10.8,35.4,0.0,14,52.0,3,14,17.0,26.0,30.0,19.0,1015.9,1013.1,23.8,33.2,0,0
27,11.8,22.2,0.0,10,35.0,8,10,13.0,15.0,64.0,54.0,1018.3,1015.9,18.1,21.1,0,0
17,15.2,26.6,0.0,3,70.0,3,6,48.0,28.0,24.0,22.0,1006.9,1003.6,21.2,26.2,0,0
34,24.5,31.3,0.0,1,31.0,10,1,11.0,22.0,64.0,65.0,1009.7,1006.1,29.0,30.7,0,1
25,15.7,38.7,0.0,7,57.0,6,6,20.0,30.0,13.0,67.0,1012.9,1009.7,33.2,37.7,0,1
40,9.6,18.3,7.4,12,33.0,13,12,17.0,19.0,85.0,60.0,1022.9,1022.0,13.7,17.3,1,0
32,6.9,18.3,0.0,13,37.0,14,15,17.0,19.0,55.0,38.0,1028.1,1026.1,9.9,18.1,0,0
23,20.4,27.5,0.0,4,33.0,4,1,17.0,22.0,80.0,70.0,1014.8,1010.4,23.9,26.6,0,0
20,23.6,40.2,0.0,3,41.0,5,7,28.0,15.0,47.0,19.0,1006.2,1002.8,29.0,37.5,0,0
3,14.5,29.5,0.2,1,28.0,12,5,4.0,7.0,73.0,42.0,1020.4,1016.9,21.0,27.3,0,0
10,22.2,29.4,0.0,5,50.0,6,5,17.0,31.0,70.0,71.0,1011.7,1009.1,27.3,28.6,0,0
32,7.3,18.1,0.0,13,26.0,14,4,13.0,4.0,74.0,45.0,1022.8,1017.9,9.1,17.2,0,0
13,17.4,21.9,3.2,10,54.0,10,10,28.0,44.0,73.0,52.0,1015.2,1014.5,18.4,19.2,1,0
35,14.6,30.5,0.0,7,37.0,4,7,9.0,20.0,74.0,31.0,1016.3,1012.5,19.3,29.1,0,0
38,13.0,25.8,0.0,9,37.0,1,10,15.0,15.0,67.0,58.0,1023.7,1020.7,20.5,23.9,0,0
11,8.6,20.7,0.0,11,33.0,8,11,7.0,19.0,70.0,58.0,1022.7,1022.4,16.3,19.1,0,0
18,10.8,20.0,5.6,14,70.0,6,14,20.0,30.0,66.0,45.0,1005.9,1005.7,13.2,18.4,1,0
14,14.5,20.0,0.0,6,56.0,6,12,26.0,24.0,54.0,32.0,1016.8,1021.1,17.0,19.9,0,0
10,20.0,28.5,2.6,4,50.0,14,4,6.0,33.0,72.0,63.0,1011.8,1009.7,25.8,28.0,1,0
31,8.5,16.6,0.2,14,54.0,13,7,24.0,30.0,72.0,57.0,1015.9,1014.5,11.8,15.3,0,0
34,20.4,30.3,0.0,0,44.0,2,1,28.0,28.0,57.0,62.0,1017.1,1013.6,26.6,28.4,0,0
17,9.7,9.9,0.0,11,41.0,13,8,9.0,13.0,74.0,86.0,1018.3,1018.7,9.8,8.6,0,1
5,2.7,14.0,0.0,8,46.0,11,8,11.0,19.0,75.0,48.0,1023.0,1023.3,8.5,13.4,0,0
29,8.9,13.3,7.0,11,35.0,11,13,15.0,17.0,71.0,89.0,1026.1,1026.6,11.4,10.3,1,1
12,23.0,29.5,0.0,0,43.0,0,4,28.0,17.0,77.0,64.0,1013.3,1010.4,26.9,28.6,0,0
16,13.5,21.7,0.0,6,28.0,4,6,4.0,15.0,88.0,65.0,1019.5,1016.7,15.1,20.4,0,0
31,8.0,21.5,0.0,0,31.0,14,1,9.0,13.0,85.0,59.0,1026.2,1021.3,11.6,20.5,0,0
25,10.6,15.4,1.4,15,61.0,13,13,30.0,31.0,82.0,74.0,1020.8,1019.3,12.5,15.0,1,1
1,14.6,38.6,0.0,6,39.0,10,5,9.0,20.0,45.0,8.0,1017.0,1012.3,23.8,36.9,0,0
18,13.3,20.7,1.0,12,63.0,15,12,17.0,35.0,85.0,33.0,1008.0,1008.9,13.7,19.7,0,0
0,4.8,17.6,0.0,15,20.0,4,12,2.0,13.0,57.0,38.0,1014.7,1013.4,12.0,16.5,0,0
19,21.1,42.7,0.0,15,54.0,5,12,13.0,22.0,23.0,14.0,1007.8,1007.5,30.5,37.6,0,0
21,6.9,29.5,0.0,3,46.0,5,3,22.0,24.0,54.0,33.0,1015.6,1011.0,17.0,29.4,0,0
35,3.5,21.6,0.0,3,24.0,12,5,4.0,11.0,74.0,45.0,1022.4,1017.8,10.6,20.6,0,0
22,20.0,34.6,0.0,13,39.0,12,14,15.0,24.0,54.0,27.0,1009.3,1008.3,23.1,32.2,0,1
40,9.5,25.5,0.0,1,37.0,3,0,11.0,20.0,65.0,44.0,1019.4,1015.5,17.7,23.7,0,0
12,18.9,31.7,0.0,1,37.0,1,3,20.0,24.0,74.0,53.0,1016.8,1012.2,24.7,30.0,0,0
9,15.8,26.7,0.0,5,41.0,5,3,24.0,20.0,59.0,40.0,1015.8,1011.7,20.6,26.6,0,1
4,3.7,14.8,0.0,9,30.0,10,8,19.0,15.0,85.0,58.0,1031.2,1028.8,9.3,14.1,0,0
40,12.5,30.2,0.0,1,35.0,3,1,7.0,13.0,86.0,38.0,1011.2,1007.8,18.7,29.9,0,0
18,9.0,13.5,0.8,10,33.0,8,8,19.0,19.0,65.0,60.0,1032.6,1032.8,11.7,12.6,0,0
30,10.0,17.9,2.2,8,31.0,12,2,17.0,17.0,62.0,53.0,1025.4,1024.1,13.5,16.4,1,0
12,27.5,34.1,0.0,3,39.0,3,6,15.0,22.0,72.0,59.0,1010.0,1006.4,30.2,33.4,0,0
34,25.1,31.7,0.0,5,41.0,3,1,17.0,28.0,58.0,56.0,1014.2,1009.8,27.8,29.7,0,0
33,7.8,18.7,0.0,14,30.0,7,14,11.0,15.0,62.0,40.0,1026.8,1024.7,11.6,18.0,0,0
14,10.0,18.1,0.0,9,30.0,3,2,6.0,17.0,76.0,60.0,1032.5,1030.3,12.2,17.3,0,0
4,-1.8,10.1,0.6,7,35.0,5,7,13.0,20.0,99.0,71.0,1023.2,1022.3,2.2,9.8,0,0
33,15.4,20.7,3.6,11,56.0,11,8,31.0,28.0,81.0,80.0,1023.5,1022.1,18.8,20.1,1,1
32,11.0,17.9,0.4,15,59.0,13,15,19.0,22.0,51.0,35.0,1015.3,1013.8,13.2,15.7,0,0
25,10.6,13.6,0.0,2,30.0,1,1,13.0,13.0,92.0,92.0,1021.3,1019.3,11.8,13.3,0,0
13,9.3,19.1,0.0,10,39.0,8,2,9.0,19.0,50.0,43.0,1021.9,1019.4,15.4,18.0,0,0
1,7.4,13.3,1.6,3,26.0,6,3,13.0,15.0,96.0,85.0,1017.6,1014.5,8.1,11.7,1,1
1,11.5,27.8,0.0,8,35.0,10,14,9.0,11.0,69.0,42.0,1011.7,1009.2,16.6,25.1,0,1
4,6.3,11.7,0.0,8,35.0,9,8,17.0,19.0,95.0,92.0,1018.7,1014.6,8.4,10.2,0,1
19,7.7,18.9,0.4,7,52.0,6,13,13.0,24.0,90.0,72.0,1014.9,1012.2,10.4,17.6,0,1
23,9.9,16.2,0.0,8,41.0,12,8,15.0,24.0,66.0,70.0,1028.8,1028.7,12.0,15.7,0,0
5,20.0,25.6,4.4,9,41.0,8,8,19.0,19.0,81.0,86.0,1018.7,1018.0,21.1,21.6,1,1
21,3.6,13.5,0.8,15,35.0,7,12,7.0,17.0,93.0,80.0,1025.9,1026.1,9.7,12.1,0,0
14,8.1,18.2,0.0,12,56.0,12,11,31.0,22.0,46.0,34.0,1019.7,1019.6,12.1,16.4,0,0
